# Time [s],Mass [Kg/kg],BT [C],FT [C]
6.30000000000E+01,9.99999940000E-01,4.77338600000E+01,2.24663600000E+02
6.40000000000E+01,9.99999940000E-01,4.86379320000E+01,2.25930920000E+02
6.50000000000E+01,9.99999940000E-01,4.95529250000E+01,2.27182570000E+02
6.60000000000E+01,9.99999940000E-01,5.04784010000E+01,2.28418900000E+02
6.70000000000E+01,9.99999940000E-01,5.14139820000E+01,2.29640240000E+02
6.80000000000E+01,9.99999940000E-01,5.23593220000E+01,2.30847820000E+02
6.90000000000E+01,9.99999940000E-01,5.33140110000E+01,2.32041230000E+02
7.00000000000E+01,9.99999940000E-01,5.42777020000E+01,2.33221220000E+02
7.10000000000E+01,9.99999880000E-01,5.52500690000E+01,2.34388200000E+02
7.20000000000E+01,9.99999880000E-01,5.62307280000E+01,2.35542600000E+02
7.30000000000E+01,9.99999880000E-01,5.72193830000E+01,2.36684810000E+02
7.40000000000E+01,9.99999880000E-01,5.82156750000E+01,2.37815730000E+02
7.50000000000E+01,9.99999880000E-01,5.92193220000E+01,2.38935010000E+02
7.60000000000E+01,9.99999820000E-01,6.02299880000E+01,2.40043000000E+02
7.70000000000E+01,9.99999820000E-01,6.12474100000E+01,2.41140500000E+02
7.80000000000E+01,9.99999820000E-01,6.22712590000E+01,2.42227460000E+02
7.90000000000E+01,9.99999760000E-01,6.33013000000E+01,2.43304630000E+02
8.00000000000E+01,9.99999760000E-01,6.43372270000E+01,2.44372220000E+02
8.10000000000E+01,9.99999700000E-01,6.53787690000E+01,2.45430400000E+02
8.20000000000E+01,9.99999700000E-01,6.64256900000E+01,2.46479100000E+02
8.30000000000E+01,9.99999640000E-01,6.74777070000E+01,2.47519420000E+02
8.40000000000E+01,9.99999640000E-01,6.85346300000E+01,2.48550580000E+02
8.50000000000E+01,9.99999580000E-01,6.95961840000E+01,2.49573900000E+02
8.60000000000E+01,9.99999580000E-01,7.06621250000E+01,2.50588820000E+02
8.70000000000E+01,9.99999520000E-01,7.17322540000E+01,2.51595720000E+02
8.80000000000E+01,9.99999460000E-01,7.28063510000E+01,2.52594740000E+02
8.90000000000E+01,9.99999400000E-01,7.38841710000E+01,2.53586430000E+02
9.00000000000E+01,9.99999340000E-01,7.49655690000E+01,2.54570310000E+02
9.10000000000E+01,9.99999280000E-01,7.60503160000E+01,2.55546430000E+02
9.20000000000E+01,9.99999230000E-01,7.71382290000E+01,2.56516080000E+02
9.30000000000E+01,9.99999170000E-01,7.82290730000E+01,2.57478420000E+02
9.40000000000E+01,9.99999110000E-01,7.93227160000E+01,2.58433110000E+02
9.50000000000E+01,9.99998990000E-01,8.04189760000E+01,2.59381620000E+02
9.60000000000E+01,9.99998930000E-01,8.15176620000E+01,2.60322420000E+02
9.70000000000E+01,9.99998810000E-01,8.26186220000E+01,2.61256740000E+02
9.80000000000E+01,9.99998690000E-01,8.37216870000E+01,2.62184540000E+02
9.90000000000E+01,9.99998630000E-01,8.48267060000E+01,2.63104770000E+02
1.00000000000E+02,9.99998510000E-01,8.59335330000E+01,2.64018590000E+02
1.01000000000E+02,9.99998330000E-01,8.70419850000E+01,2.64925960000E+02
1.02000000000E+02,9.99998210000E-01,8.81519700000E+01,2.65825840000E+02
1.03000000000E+02,9.99998090000E-01,8.92633130000E+01,2.66719390000E+02
1.04000000000E+02,9.99997910000E-01,9.03759000000E+01,2.67606630000E+02
1.05000000000E+02,9.99997740000E-01,9.14895630000E+01,2.68486970000E+02
1.06000000000E+02,9.99997560000E-01,9.26042180000E+01,2.69360020000E+02
1.07000000000E+02,9.99997380000E-01,9.37197340000E+01,2.70227330000E+02
1.08000000000E+02,9.99997140000E-01,9.48359680000E+01,2.71087770000E+02
1.09000000000E+02,9.99996960000E-01,9.59528200000E+01,2.71941650000E+02
1.10000000000E+02,9.99996720000E-01,9.70701600000E+01,2.72789520000E+02
1.11000000000E+02,9.99996480000E-01,9.81879200000E+01,2.73630490000E+02
1.12000000000E+02,9.99996190000E-01,9.93059690000E+01,2.74464940000E+02
1.13000000000E+02,9.99995890000E-01,1.00424210000E+02,2.75293790000E+02
1.14000000000E+02,9.99995590000E-01,1.01542530000E+02,2.76116240000E+02
1.15000000000E+02,9.99995290000E-01,1.02660840000E+02,2.76932530000E+02
1.16000000000E+02,9.99994930000E-01,1.03779060000E+02,2.77743130000E+02
1.17000000000E+02,9.99994580000E-01,1.04897090000E+02,2.78547610000E+02
1.18000000000E+02,9.99994220000E-01,1.06014860000E+02,2.79346100000E+02
1.19000000000E+02,9.99993800000E-01,1.07132270000E+02,2.80139130000E+02
1.20000000000E+02,9.99993380000E-01,1.08249210000E+02,2.80926360000E+02
1.21000000000E+02,9.99992910000E-01,1.09365650000E+02,2.81708010000E+02
1.22000000000E+02,9.99992430000E-01,1.10481510000E+02,2.82484530000E+02
1.23000000000E+02,9.99991890000E-01,1.11596690000E+02,2.83255460000E+02
1.24000000000E+02,9.99991360000E-01,1.12711130000E+02,2.84021120000E+02
1.25000000000E+02,9.99990760000E-01,1.13824760000E+02,2.84782070000E+02
1.26000000000E+02,9.99990170000E-01,1.14937530000E+02,2.85537690000E+02
1.27000000000E+02,9.99989510000E-01,1.16049370000E+02,2.86288300000E+02
1.28000000000E+02,9.99988850000E-01,1.17160220000E+02,2.87034480000E+02
1.29000000000E+02,9.99988140000E-01,1.18270000000E+02,2.87775910000E+02
1.30000000000E+02,9.99987360000E-01,1.19378680000E+02,2.88512420000E+02
1.31000000000E+02,9.99986530000E-01,1.20486200000E+02,2.89244810000E+02
1.32000000000E+02,9.99985690000E-01,1.21592510000E+02,2.89972530000E+02
1.33000000000E+02,9.99984800000E-01,1.22697520000E+02,2.90695860000E+02
1.34000000000E+02,9.99983910000E-01,1.23801220000E+02,2.91415280000E+02
1.35000000000E+02,9.99982890000E-01,1.24903560000E+02,2.92130520000E+02
1.36000000000E+02,9.99981880000E-01,1.26004500000E+02,2.92841370000E+02
1.37000000000E+02,9.99980750000E-01,1.27103960000E+02,2.93548800000E+02
1.38000000000E+02,9.99979620000E-01,1.28201920000E+02,2.94251890000E+02
1.39000000000E+02,9.99978420000E-01,1.29298360000E+02,2.94950990000E+02
1.40000000000E+02,9.99977110000E-01,1.30393220000E+02,2.95646880000E+02
1.41000000000E+02,9.99975800000E-01,1.31486430000E+02,2.96338650000E+02
1.42000000000E+02,9.99974370000E-01,1.32578020000E+02,2.97026820000E+02
1.43000000000E+02,9.99972880000E-01,1.33667920000E+02,2.97711940000E+02
1.44000000000E+02,9.99971330000E-01,1.34756100000E+02,2.98393310000E+02
1.45000000000E+02,9.99969720000E-01,1.35842510000E+02,2.99070830000E+02
1.46000000000E+02,9.99968050000E-01,1.36927140000E+02,2.99745300000E+02
1.47000000000E+02,9.99966260000E-01,1.38009960000E+02,3.00416350000E+02
1.48000000000E+02,9.99964360000E-01,1.39090910000E+02,3.01084110000E+02
1.49000000000E+02,9.99962390000E-01,1.40170010000E+02,3.01748750000E+02
1.50000000000E+02,9.99960360000E-01,1.41247190000E+02,3.02409880000E+02
1.51000000000E+02,9.99958160000E-01,1.42322450000E+02,3.03068120000E+02
1.52000000000E+02,9.99955890000E-01,1.43395750000E+02,3.03723210000E+02
1.53000000000E+02,9.99953570000E-01,1.44467100000E+02,3.04375550000E+02
1.54000000000E+02,9.99951060000E-01,1.45536440000E+02,3.05024350000E+02
1.55000000000E+02,9.99948500000E-01,1.46603710000E+02,3.05670500000E+02
1.56000000000E+02,9.99945760000E-01,1.47668960000E+02,3.06313900000E+02
1.57000000000E+02,9.99942960000E-01,1.48732120000E+02,3.06953890000E+02
1.58000000000E+02,9.99939980000E-01,1.49793230000E+02,3.07591370000E+02
1.59000000000E+02,9.99936880000E-01,1.50852220000E+02,3.08225860000E+02
1.60000000000E+02,9.99933660000E-01,1.51909070000E+02,3.08857480000E+02
1.61000000000E+02,9.99930320000E-01,1.52963810000E+02,3.09486600000E+02
1.62000000000E+02,9.99926750000E-01,1.54016370000E+02,3.10112520000E+02
1.63000000000E+02,9.99923110000E-01,1.55066740000E+02,3.10735990000E+02
1.64000000000E+02,9.99919240000E-01,1.56114940000E+02,3.11356960000E+02
1.65000000000E+02,9.99915240000E-01,1.57160930000E+02,3.11974700000E+02
1.66000000000E+02,9.99911070000E-01,1.58204670000E+02,3.12590270000E+02
1.67000000000E+02,9.99906720000E-01,1.59246200000E+02,3.13202940000E+02
1.68000000000E+02,9.99902190000E-01,1.60285450000E+02,3.13812990000E+02
1.69000000000E+02,9.99897420000E-01,1.61322450000E+02,3.14420320000E+02
1.70000000000E+02,9.99892470000E-01,1.62357160000E+02,3.15025510000E+02
1.71000000000E+02,9.99887350000E-01,1.63389590000E+02,3.15627660000E+02
1.72000000000E+02,9.99881980000E-01,1.64419710000E+02,3.16227450000E+02
1.73000000000E+02,9.99876440000E-01,1.65447510000E+02,3.16824980000E+02
1.74000000000E+02,9.99870600000E-01,1.66473010000E+02,3.17419800000E+02
1.75000000000E+02,9.99864580000E-01,1.67496140000E+02,3.18012180000E+02
1.76000000000E+02,9.99858260000E-01,1.68516940000E+02,3.18601960000E+02
1.77000000000E+02,9.99851700000E-01,1.69535390000E+02,3.19189640000E+02
1.78000000000E+02,9.99844910000E-01,1.70551470000E+02,3.19774320000E+02
1.79000000000E+02,9.99837820000E-01,1.71565190000E+02,3.20357270000E+02
1.80000000000E+02,9.99830420000E-01,1.72576510000E+02,3.20937350000E+02
1.81000000000E+02,9.99822800000E-01,1.73585450000E+02,3.21515050000E+02
1.82000000000E+02,9.99814810000E-01,1.74591980000E+02,3.22090450000E+02
1.83000000000E+02,9.99806580000E-01,1.75596120000E+02,3.22663090000E+02
1.84000000000E+02,9.99798000000E-01,1.76597820000E+02,3.23233800000E+02
1.85000000000E+02,9.99789060000E-01,1.77597110000E+02,3.23801880000E+02
1.86000000000E+02,9.99779820000E-01,1.78593960000E+02,3.24367890000E+02
1.87000000000E+02,9.99770160000E-01,1.79588380000E+02,3.24931030000E+02
1.88000000000E+02,9.99760210000E-01,1.80580350000E+02,3.25492580000E+02
1.89000000000E+02,9.99749840000E-01,1.81569900000E+02,3.26051300000E+02
1.90000000000E+02,9.99739050000E-01,1.82556980000E+02,3.26607700000E+02
1.91000000000E+02,9.99727900000E-01,1.83541600000E+02,3.27162080000E+02
1.92000000000E+02,9.99716340000E-01,1.84523760000E+02,3.27713900000E+02
1.93000000000E+02,9.99704360000E-01,1.85503430000E+02,3.28263310000E+02
1.94000000000E+02,9.99691960000E-01,1.86480650000E+02,3.28810850000E+02
1.95000000000E+02,9.99679090000E-01,1.87455370000E+02,3.29355530000E+02
1.96000000000E+02,9.99665740000E-01,1.88427630000E+02,3.29898320000E+02
1.97000000000E+02,9.99651850000E-01,1.89397370000E+02,3.30438570000E+02
1.98000000000E+02,9.99637540000E-01,1.90364640000E+02,3.30976870000E+02
1.99000000000E+02,9.99622700000E-01,1.91329390000E+02,3.31512540000E+02
2.00000000000E+02,9.99607320000E-01,1.92291640000E+02,3.32046300000E+02
2.01000000000E+02,9.99591410000E-01,1.93251420000E+02,3.32577850000E+02
2.02000000000E+02,9.99574960000E-01,1.94208630000E+02,3.33106660000E+02
2.03000000000E+02,9.99557910000E-01,1.95163380000E+02,3.33633610000E+02
2.04000000000E+02,9.99540330000E-01,1.96115590000E+02,3.34158080000E+02
2.05000000000E+02,9.99522090000E-01,1.97065260000E+02,3.34680390000E+02
2.06000000000E+02,9.99503200000E-01,1.98012440000E+02,3.35200320000E+02
2.07000000000E+02,9.99483700000E-01,1.98957080000E+02,3.35718260000E+02
2.08000000000E+02,9.99463560000E-01,1.99899170000E+02,3.36233890000E+02
2.09000000000E+02,9.99442700000E-01,2.00838760000E+02,3.36747280000E+02
2.10000000000E+02,9.99421180000E-01,2.01775800000E+02,3.37258210000E+02
2.11000000000E+02,9.99398950000E-01,2.02710300000E+02,3.37766910000E+02
2.12000000000E+02,9.99375940000E-01,2.03642260000E+02,3.38273710000E+02
2.13000000000E+02,9.99352220000E-01,2.04571670000E+02,3.38777920000E+02
2.14000000000E+02,9.99327720000E-01,2.05498520000E+02,3.39279970000E+02
2.15000000000E+02,9.99302390000E-01,2.06422850000E+02,3.39780150000E+02
2.16000000000E+02,9.99276280000E-01,2.07344620000E+02,3.40277920000E+02
2.17000000000E+02,9.99249280000E-01,2.08263820000E+02,3.40772950000E+02
2.18000000000E+02,9.99221440000E-01,2.09180480000E+02,3.41266450000E+02
2.19000000000E+02,9.99192770000E-01,2.10094560000E+02,3.41757450000E+02
2.20000000000E+02,9.99163150000E-01,2.11006070000E+02,3.42245910000E+02
2.21000000000E+02,9.99132630000E-01,2.11915020000E+02,3.42732480000E+02
2.22000000000E+02,9.99101160000E-01,2.12821430000E+02,3.43216890000E+02
2.23000000000E+02,9.99068680000E-01,2.13725250000E+02,3.43698640000E+02
2.24000000000E+02,9.99035240000E-01,2.14626500000E+02,3.44178620000E+02
2.25000000000E+02,9.99000730000E-01,2.15525160000E+02,3.44655980000E+02
2.26000000000E+02,9.98965200000E-01,2.16421260000E+02,3.45131160000E+02
2.27000000000E+02,9.98928610000E-01,2.17314770000E+02,3.45604370000E+02
2.28000000000E+02,9.98890940000E-01,2.18205720000E+02,3.46075200000E+02
2.29000000000E+02,9.98852130000E-01,2.19094070000E+02,3.46543790000E+02
2.30000000000E+02,9.98812200000E-01,2.19979830000E+02,3.47009950000E+02
2.31000000000E+02,9.98771010000E-01,2.20863020000E+02,3.47474180000E+02
2.32000000000E+02,9.98728690000E-01,2.21743610000E+02,3.47935970000E+02
2.33000000000E+02,9.98685120000E-01,2.22621600000E+02,3.48395840000E+02
2.34000000000E+02,9.98640300000E-01,2.23496990000E+02,3.48853060000E+02
2.35000000000E+02,9.98594220000E-01,2.24369810000E+02,3.49308110000E+02
2.36000000000E+02,9.98546780000E-01,2.25240010000E+02,3.49760960000E+02
2.37000000000E+02,9.98498080000E-01,2.26107620000E+02,3.50211760000E+02
2.38000000000E+02,9.98447950000E-01,2.26972630000E+02,3.50659880000E+02
2.39000000000E+02,9.98396400000E-01,2.27835020000E+02,3.51106170000E+02
2.40000000000E+02,9.98343470000E-01,2.28694820000E+02,3.51550080000E+02
2.41000000000E+02,9.98289050000E-01,2.29552020000E+02,3.51991640000E+02
2.42000000000E+02,9.98233200000E-01,2.30406600000E+02,3.52431180000E+02
2.43000000000E+02,9.98175800000E-01,2.31258540000E+02,3.52868100000E+02
2.44000000000E+02,9.98116850000E-01,2.32107890000E+02,3.53302700000E+02
2.45000000000E+02,9.98056290000E-01,2.32954620000E+02,3.53735660000E+02
2.46000000000E+02,9.97994180000E-01,2.33798720000E+02,3.54166020000E+02
2.47000000000E+02,9.97930410000E-01,2.34640200000E+02,3.54594150000E+02
2.48000000000E+02,9.97864960000E-01,2.35479050000E+02,3.55020050000E+02
2.49000000000E+02,9.97797790000E-01,2.36315280000E+02,3.55443630000E+02
2.50000000000E+02,9.97728880000E-01,2.37148880000E+02,3.55864900000E+02
2.51000000000E+02,9.97658250000E-01,2.37979860000E+02,3.56284270000E+02
2.52000000000E+02,9.97585770000E-01,2.38808200000E+02,3.56701170000E+02
2.53000000000E+02,9.97511510000E-01,2.39633930000E+02,3.57115720000E+02
2.54000000000E+02,9.97435330000E-01,2.40457020000E+02,3.57528230000E+02
2.55000000000E+02,9.97357310000E-01,2.41277470000E+02,3.57938110000E+02
2.56000000000E+02,9.97277320000E-01,2.42095280000E+02,3.58345890000E+02
2.57000000000E+02,9.97195420000E-01,2.42910450000E+02,3.58751650000E+02
2.58000000000E+02,9.97111500000E-01,2.43722960000E+02,3.59154940000E+02
2.59000000000E+02,9.97025490000E-01,2.44532850000E+02,3.59555910000E+02
2.60000000000E+02,9.96937510000E-01,2.45340090000E+02,3.59955020000E+02
2.61000000000E+02,9.96847390000E-01,2.46144680000E+02,3.60351680000E+02
2.62000000000E+02,9.96755120000E-01,2.46946620000E+02,3.60746060000E+02
2.63000000000E+02,9.96660710000E-01,2.47745930000E+02,3.61138400000E+02
2.64000000000E+02,9.96564090000E-01,2.48542590000E+02,3.61528290000E+02
2.65000000000E+02,9.96465270000E-01,2.49336590000E+02,3.61915950000E+02
2.66000000000E+02,9.96364180000E-01,2.50127940000E+02,3.62301360000E+02
2.67000000000E+02,9.96260760000E-01,2.50916640000E+02,3.62684570000E+02
2.68000000000E+02,9.96155020000E-01,2.51702680000E+02,3.63065550000E+02
2.69000000000E+02,9.96046960000E-01,2.52486080000E+02,3.63444580000E+02
2.70000000000E+02,9.95936450000E-01,2.53266830000E+02,3.63821230000E+02
2.71000000000E+02,9.95823560000E-01,2.54044920000E+02,3.64195560000E+02
2.72000000000E+02,9.95708170000E-01,2.54820360000E+02,3.64567840000E+02
2.73000000000E+02,9.95590270000E-01,2.55593140000E+02,3.64937810000E+02
2.74000000000E+02,9.95469870000E-01,2.56363250000E+02,3.65305570000E+02
2.75000000000E+02,9.95346900000E-01,2.57130710000E+02,3.65671450000E+02
2.76000000000E+02,9.95221380000E-01,2.57895510000E+02,3.66034940000E+02
2.77000000000E+02,9.95093170000E-01,2.58657620000E+02,3.66396210000E+02
2.78000000000E+02,9.94962330000E-01,2.59417080000E+02,3.66755580000E+02
2.79000000000E+02,9.94828820000E-01,2.60173890000E+02,3.67112580000E+02
2.80000000000E+02,9.94692500000E-01,2.60928040000E+02,3.67467410000E+02
2.81000000000E+02,9.94553510000E-01,2.61679500000E+02,3.67820590000E+02
2.82000000000E+02,9.94411710000E-01,2.62428310000E+02,3.68171050000E+02
2.83000000000E+02,9.94267110000E-01,2.63174470000E+02,3.68519500000E+02
2.84000000000E+02,9.94119640000E-01,2.63917940000E+02,3.68866060000E+02
2.85000000000E+02,9.93969260000E-01,2.64658720000E+02,3.69210630000E+02
2.86000000000E+02,9.93816020000E-01,2.65396820000E+02,3.69552760000E+02
2.87000000000E+02,9.93659850000E-01,2.66132230000E+02,3.69893010000E+02
2.88000000000E+02,9.93500650000E-01,2.66864990000E+02,3.70231020000E+02
2.89000000000E+02,9.93338530000E-01,2.67595060000E+02,3.70567200000E+02
2.90000000000E+02,9.93173300000E-01,2.68322450000E+02,3.70901120000E+02
2.91000000000E+02,9.93005100000E-01,2.69047090000E+02,3.71233000000E+02
2.92000000000E+02,9.92833730000E-01,2.69769070000E+02,3.71562740000E+02
2.93000000000E+02,9.92659330000E-01,2.70488370000E+02,3.71890750000E+02
2.94000000000E+02,9.92481770000E-01,2.71204960000E+02,3.72216550000E+02
2.95000000000E+02,9.92300990000E-01,2.71918820000E+02,3.72540340000E+02
2.96000000000E+02,9.92117110000E-01,2.72629940000E+02,3.72862670000E+02
2.97000000000E+02,9.91929950000E-01,2.73338380000E+02,3.73182710000E+02
2.98000000000E+02,9.91739570000E-01,2.74044100000E+02,3.73500700000E+02
2.99000000000E+02,9.91545860000E-01,2.74747100000E+02,3.73816860000E+02
3.00000000000E+02,9.91348920000E-01,2.75447330000E+02,3.74130920000E+02
3.01000000000E+02,9.91148650000E-01,2.76144840000E+02,3.74443330000E+02
3.02000000000E+02,9.90945040000E-01,2.76839570000E+02,3.74753510000E+02
3.03000000000E+02,9.90738090000E-01,2.77531590000E+02,3.75061890000E+02
3.04000000000E+02,9.90527690000E-01,2.78220830000E+02,3.75368680000E+02
3.05000000000E+02,9.90313950000E-01,2.78907290000E+02,3.75673580000E+02
3.06000000000E+02,9.90096750000E-01,2.79591000000E+02,3.75976870000E+02
3.07000000000E+02,9.89876090000E-01,2.80271910000E+02,3.76277710000E+02
3.08000000000E+02,9.89651980000E-01,2.80950040000E+02,3.76577180000E+02
3.09000000000E+02,9.89424350000E-01,2.81625400000E+02,3.76874630000E+02
3.10000000000E+02,9.89193200000E-01,2.82297910000E+02,3.77170990000E+02
3.11000000000E+02,9.88958540000E-01,2.82967650000E+02,3.77464900000E+02
3.12000000000E+02,9.88720300000E-01,2.83634550000E+02,3.77757140000E+02
3.13000000000E+02,9.88478540000E-01,2.84298650000E+02,3.78047550000E+02
3.14000000000E+02,9.88233150000E-01,2.84959870000E+02,3.78336910000E+02
3.15000000000E+02,9.87984180000E-01,2.85618290000E+02,3.78624210000E+02
3.16000000000E+02,9.87731580000E-01,2.86273830000E+02,3.78909700000E+02
3.17000000000E+02,9.87475340000E-01,2.86926540000E+02,3.79193630000E+02
3.18000000000E+02,9.87215460000E-01,2.87576390000E+02,3.79476200000E+02
3.19000000000E+02,9.86951890000E-01,2.88223330000E+02,3.79756840000E+02
3.20000000000E+02,9.86684620000E-01,2.88867400000E+02,3.80036160000E+02
3.21000000000E+02,9.86413720000E-01,2.89508610000E+02,3.80314000000E+02
3.22000000000E+02,9.86139060000E-01,2.90146850000E+02,3.80589540000E+02
3.23000000000E+02,9.85860710000E-01,2.90782230000E+02,3.80864470000E+02
3.24000000000E+02,9.85578660000E-01,2.91414670000E+02,3.81137270000E+02
3.25000000000E+02,9.85292790000E-01,2.92044220000E+02,3.81409000000E+02
3.26000000000E+02,9.85003230000E-01,2.92670810000E+02,3.81678770000E+02
3.27000000000E+02,9.84709860000E-01,2.93294430000E+02,3.81947630000E+02
3.28000000000E+02,9.84412730000E-01,2.93915130000E+02,3.82214970000E+02
3.29000000000E+02,9.84111850000E-01,2.94532870000E+02,3.82480290000E+02
3.30000000000E+02,9.83807150000E-01,2.95147610000E+02,3.82744450000E+02
3.31000000000E+02,9.83498630000E-01,2.95759400000E+02,3.83008030000E+02
3.32000000000E+02,9.83186300000E-01,2.96368190000E+02,3.83269230000E+02
3.33000000000E+02,9.82870160000E-01,2.96973970000E+02,3.83529240000E+02
3.34000000000E+02,9.82550200000E-01,2.97576750000E+02,3.83788760000E+02
3.35000000000E+02,9.82226430000E-01,2.98176540000E+02,3.84046050000E+02
3.36000000000E+02,9.81898780000E-01,2.98773280000E+02,3.84302090000E+02
3.37000000000E+02,9.81567320000E-01,2.99366970000E+02,3.84557190000E+02
3.38000000000E+02,9.81232050000E-01,2.99957640000E+02,3.84811100000E+02
3.39000000000E+02,9.80892900000E-01,3.00545260000E+02,3.85063570000E+02
3.40000000000E+02,9.80549870000E-01,3.01129820000E+02,3.85315000000E+02
3.41000000000E+02,9.80203030000E-01,3.01711300000E+02,3.85565090000E+02
3.42000000000E+02,9.79852260000E-01,3.02289730000E+02,3.85813960000E+02
3.43000000000E+02,9.79497730000E-01,3.02865050000E+02,3.86061950000E+02
3.44000000000E+02,9.79139270000E-01,3.03437290000E+02,3.86308560000E+02
3.45000000000E+02,9.78776930000E-01,3.04006410000E+02,3.86554380000E+02
3.46000000000E+02,9.78410780000E-01,3.04572450000E+02,3.86798100000E+02
3.47000000000E+02,9.78040750000E-01,3.05135350000E+02,3.87041780000E+02
